Customer ID,Gender,Age,Dependents,Population,Tenure in Months,Phone Service,Avg Monthly Long Distance Charges,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Churn
7273-TEFQD,Male,67,No,30802,3,No,0,Yes,DSL,28,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,41.15,132.2,Yes
3606-TWKGI,Male,68,No,46342,13,Yes,32.68,Yes,Cable,11,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,106.9,1364.3,Yes
4385-GZQXV,Female,68,No,49474,16,Yes,9.43,Yes,Fiber Optic,9,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.45,1511.2,Yes
3488-PGMQJ,Male,66,No,16486,8,Yes,1.78,Yes,Fiber Optic,7,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.5,606.55,Yes
7534-BFESC,Male,69,No,34902,24,Yes,30.87,Yes,Fiber Optic,15,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.1,1712.7,Yes
8098-LLAZX,Female,74,No,34902,4,Yes,31.61,Yes,Fiber Optic,2,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.45,396.1,Yes
0265-EDXBD,Male,76,No,34902,32,Yes,47.34,Yes,Fiber Optic,10,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.9,2303.35,Yes
2840-XANRC,Male,77,No,34902,24,Yes,16.1,Yes,Cable,12,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,93.15,2231.05,Yes
5020-ZSTTY,Female,70,No,34902,54,Yes,12.08,Yes,DSL,5,Yes,Yes,No,Yes,Yes,One Year,No,Bank Withdrawal,82.45,4350.1,Yes
5804-LEPIM,Female,74,No,34902,2,Yes,13.17,Yes,Fiber Optic,10,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.35,139.05,Yes
0623-IIHUG,Female,77,No,34902,21,No,0,Yes,Cable,8,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,41.9,840.1,Yes
9057-MSWCO,Male,71,No,34902,27,No,0,Yes,Cable,13,Yes,No,No,No,No,Month-to-Month,No,Credit Card,30.75,805.1,Yes
4895-TMWIR,Male,79,No,34902,11,Yes,29.54,No,None,0,No,No,No,No,No,Month-to-Month,No,Mailed Check,19.95,214.75,Yes
0533-BNWKF,Female,66,No,34902,55,Yes,42.82,Yes,Fiber Optic,27,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,85.45,4874.7,Yes
0334-GDDSO,Male,77,No,34902,3,Yes,9.22,Yes,Fiber Optic,14,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,81.35,233.7,Yes
5564-NEMQO,Female,80,No,17018,1,Yes,35.09,Yes,Fiber Optic,17,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,75.3,75.3,Yes
6235-VDHOM,Female,77,No,63999,5,No,0,Yes,DSL,26,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,28.45,131.05,Yes
5609-CEBID,Female,77,No,39264,20,Yes,48.73,Yes,Fiber Optic,12,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,94.1,1782.4,Yes
5956-VKDTT,Female,72,No,46214,5,Yes,45.76,Yes,Fiber Optic,22,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.35,334.8,Yes
0257-ZESQC,Female,80,No,26357,27,Yes,7.02,Yes,Cable,25,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.2,1929.35,Yes
2865-TCHJW,Female,74,No,36301,4,Yes,48.35,Yes,Cable,24,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.2,346.2,Yes
5192-EBGOV,Female,68,No,1408,1,Yes,45.81,Yes,Fiber Optic,21,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.7,85.7,Yes
3419-SNJJD,Female,78,No,20893,65,Yes,18.39,Yes,Fiber Optic,28,Yes,No,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,105.25,6786.4,Yes
4554-YGZIH,Male,75,No,576,49,Yes,22.92,Yes,Fiber Optic,14,No,Yes,No,No,Yes,Month-to-Month,No,Credit Card,90.05,4547.25,Yes
5099-BAILX,Male,77,No,31727,43,Yes,14.52,Yes,Fiber Optic,5,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,110.75,4687.9,Yes
4913-EHYUI,Male,80,No,1054,56,Yes,48.8,Yes,Fiber Optic,12,Yes,No,Yes,No,Yes,One Year,Yes,Bank Withdrawal,104.55,5794.65,Yes
1626-ERCMM,Male,75,No,191,20,Yes,5.31,Yes,Fiber Optic,10,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.55,1899.65,Yes
5644-PDMZC,Female,69,No,37280,2,Yes,47.47,Yes,Fiber Optic,19,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,89.5,161.5,Yes
4160-AMJTL,Female,74,No,626,8,Yes,27.95,No,None,0,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,19.65,164.3,Yes
0823-HSCDJ,Male,76,No,46171,52,No,0,Yes,DSL,18,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,49.15,2550.9,Yes
0067-DKWBL,Male,69,No,47224,2,Yes,43.99,Yes,DSL,27,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.25,91.1,Yes
5244-IRFIH,Male,72,No,47224,33,Yes,27.78,Yes,Fiber Optic,8,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.5,3105.55,Yes
2684-EIWEO,Female,69,No,47224,30,Yes,45.88,Yes,Fiber Optic,19,Yes,Yes,Yes,No,Yes,Month-to-Month,No,Credit Card,91.7,2758.15,Yes
6683-VLCTZ,Male,73,No,47224,20,Yes,44.44,Yes,Fiber Optic,13,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,98.55,1842.8,Yes
0691-IFBQW,Female,65,No,807,46,Yes,2.37,Yes,Fiber Optic,20,Yes,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,110,4874.8,Yes
3643-AHCFP,Male,74,No,26213,7,Yes,21.91,Yes,Cable,11,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.6,644.35,Yes
9231-ZJYAM,Female,65,No,3146,4,Yes,36.93,Yes,Fiber Optic,18,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,78.85,292.8,Yes
0727-BMPLR,Female,66,No,35790,55,Yes,37.38,Yes,Fiber Optic,7,No,No,Yes,No,No,One Year,Yes,Bank Withdrawal,100,5509.3,Yes
0947-MUGVO,Male,71,No,254,20,Yes,5.37,Yes,Fiber Optic,24,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.65,1463.5,Yes
0781-LKXBR,Male,65,No,28998,9,Yes,48.71,Yes,Fiber Optic,15,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,100.5,918.6,Yes
1907-UBQFC,Male,69,No,13723,10,Yes,5.46,Yes,Fiber Optic,24,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,72.85,688.65,Yes
6513-EECDB,Male,75,No,30587,1,Yes,36.92,Yes,Fiber Optic,6,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.55,73.55,Yes
7074-IEVOJ,Female,75,No,1458,3,Yes,41.9,Yes,Fiber Optic,11,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.4,205.05,Yes
4750-ZRXIU,Female,68,No,1723,4,Yes,6.68,Yes,Cable,17,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.6,360.1,Yes
7028-DVOIQ,Male,71,No,138,35,Yes,20.83,Yes,Fiber Optic,19,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,99.05,3395.8,Yes
4208-UFFGW,Male,80,No,10153,2,Yes,26.62,Yes,DSL,11,No,No,No,No,Yes,Month-to-Month,No,Credit Card,44.95,85.15,Yes
9889-TMAHG,Male,66,No,46917,8,Yes,11.57,Yes,Fiber Optic,27,Yes,No,No,Yes,Yes,Month-to-Month,No,Credit Card,100.3,832.35,Yes
8919-FYFQZ,Male,73,No,75929,44,No,0,Yes,Cable,28,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,30.35,1359.7,Yes
6646-QVXLR,Male,77,No,63947,62,Yes,7.11,Yes,Fiber Optic,16,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,103.75,6383.35,Yes
9369-XFEHK,Female,76,No,36669,33,Yes,33.19,Yes,Cable,15,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.6,2656.5,Yes
1374-DMZUI,Female,65,No,44078,4,Yes,49.5,Yes,Fiber Optic,23,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.3,424.45,Yes
1989-PRJHP,Male,75,No,28568,27,Yes,10.6,Yes,Fiber Optic,23,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.5,1893.95,Yes
4822-RVYBB,Male,75,No,21205,8,Yes,40.45,Yes,Fiber Optic,29,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,100.6,819.4,Yes
4184-TJFAN,Female,68,No,11889,3,Yes,25.77,Yes,Fiber Optic,2,Yes,No,No,Yes,Yes,Month-to-Month,Yes,Mailed Check,88.3,273.75,Yes
4145-UQXUQ,Female,71,No,8157,8,Yes,42.93,Yes,Fiber Optic,9,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,92.1,729.95,Yes
1236-WFCDV,Male,74,No,12010,14,Yes,11.31,Yes,Fiber Optic,24,No,No,No,No,Yes,Month-to-Month,No,Credit Card,90.45,1266.1,Yes
1271-SJBGZ,Male,77,No,1025,12,No,0,Yes,DSL,10,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,43.65,526.95,Yes
4441-NIHPT,Female,73,No,4753,13,Yes,40.37,Yes,Fiber Optic,21,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.3,940.35,Yes
8999-BOHSE,Female,68,No,49968,11,Yes,3.96,Yes,Fiber Optic,27,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,89.7,1047.7,Yes
7029-RPUAV,Male,74,No,13290,17,Yes,28.18,Yes,Cable,16,No,No,Yes,No,Yes,Month-to-Month,Yes,Credit Card,100.45,1622.45,Yes
8111-SLLHI,Male,65,No,32804,39,Yes,33.25,Yes,Fiber Optic,26,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,105.65,4284.8,Yes
5293-WXJAK,Female,73,No,15798,11,Yes,17.25,Yes,Fiber Optic,27,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,104.05,1133.65,Yes
4086-YQSNZ,Female,74,No,21,3,Yes,3.29,Yes,Fiber Optic,9,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.4,224.05,Yes
8399-YNDCH,Male,80,No,2144,21,Yes,34.62,Yes,DSL,14,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,60.05,1236.15,Yes
5565-FILXA,Female,76,No,48690,16,Yes,38.75,Yes,Fiber Optic,16,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,96.15,1529.2,Yes
4187-CINZD,Female,73,No,30173,46,Yes,6.13,Yes,Fiber Optic,30,No,Yes,No,No,Yes,One Year,No,Credit Card,95.25,4424.2,Yes
6818-WOBHJ,Female,70,No,476,68,Yes,24.13,Yes,Fiber Optic,24,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.6,6127.6,Yes
9134-CEQMF,Male,75,No,2223,7,Yes,13.63,Yes,Fiber Optic,27,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.5,676.7,Yes
8519-IMDHU,Male,74,No,261,15,Yes,45.25,Yes,Cable,22,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.6,1345.55,Yes
3372-KWFBM,Male,76,No,1689,16,Yes,19.18,Yes,Fiber Optic,22,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,86.6,1281,Yes
7206-GZCDC,Female,75,No,1447,1,Yes,29.68,Yes,Cable,18,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.25,69.25,Yes
1768-ZAIFU,Female,74,No,3284,1,No,0,Yes,Cable,5,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,25.2,25.2,Yes
3793-MMFUH,Female,73,No,648,13,Yes,19.03,Yes,Fiber Optic,24,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.05,1290,Yes
6567-HOOPW,Female,69,No,51855,1,Yes,20.06,Yes,Fiber Optic,24,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.2,79.2,Yes
8621-MNIHH,Female,75,No,844,34,Yes,2.88,Yes,Fiber Optic,4,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.25,3217.55,Yes
5419-CONWX,Female,65,No,901,4,Yes,12.68,Yes,Fiber Optic,10,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Credit Card,99.8,442.85,Yes
7024-OHCCK,Female,77,No,1219,2,Yes,19.27,Yes,Fiber Optic,18,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,93.85,170.85,Yes
5357-TZHPP,Male,67,No,3600,9,Yes,30.8,Yes,Fiber Optic,18,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,84.4,732.5,Yes
0506-LVNGN,Female,78,No,299,5,Yes,42.33,Yes,Fiber Optic,9,No,No,Yes,No,Yes,Month-to-Month,Yes,Credit Card,75.55,349.65,Yes
9809-IMGCQ,Male,65,No,86,22,Yes,40.18,Yes,Fiber Optic,8,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,96.7,2082.95,Yes
3254-YRILK,Male,74,No,614,19,Yes,39.97,Yes,Fiber Optic,9,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,88.2,1775.8,Yes
0529-ONKER,Male,70,No,1351,15,Yes,46.38,Yes,Fiber Optic,19,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,75.65,1146.65,Yes
5240-IJOQT,Male,69,No,17922,1,Yes,11.34,Yes,Fiber Optic,20,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.7,74.7,Yes
0661-XEYAN,Female,76,No,17269,1,No,0,Yes,DSL,26,No,No,No,No,No,Month-to-Month,Yes,Mailed Check,25.8,25.8,Yes
2660-EMUBI,Male,71,No,48690,10,Yes,41.37,Yes,Fiber Optic,14,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.35,898.35,Yes
7675-OZCZG,Female,76,No,42239,3,Yes,30.14,Yes,DSL,6,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,45,127.1,Yes
9391-EOYLI,Male,77,No,1845,12,Yes,6.97,Yes,Fiber Optic,19,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.45,950.2,Yes
2761-OCIAX,Male,74,No,4931,2,Yes,6.51,Yes,Fiber Optic,11,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.7,165.4,Yes
3068-OMWZA,Male,77,No,459,1,Yes,49.6,Yes,Fiber Optic,20,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,88.8,88.8,Yes
4154-AQUGT,Male,76,No,28201,13,Yes,1.47,Yes,Fiber Optic,5,No,Yes,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,89.05,1169.35,Yes
8017-LXHFA,Female,77,No,28201,23,Yes,31.17,Yes,Fiber Optic,23,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.75,2293.6,Yes
4248-QPAVC,Female,80,No,28201,17,Yes,36.82,Yes,Fiber Optic,6,Yes,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.35,1463.45,Yes
4690-LLKUA,Male,68,No,28201,17,Yes,40.93,Yes,DSL,2,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,45.05,770.6,Yes
9490-DFPMD,Female,79,No,28201,42,Yes,9.53,Yes,Fiber Optic,17,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.65,3541.35,Yes
8580-AECUZ,Male,65,No,28201,1,Yes,42.3,Yes,Fiber Optic,16,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.1,79.1,Yes
5047-LHVLY,Male,68,No,4258,1,Yes,39.78,Yes,Cable,12,No,No,Yes,No,Yes,Month-to-Month,Yes,Mailed Check,50.15,50.15,Yes
8375-DKEBR,Female,72,No,18693,1,Yes,34.51,Yes,Fiber Optic,15,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.6,69.6,Yes
7279-BUYWN,Female,66,No,44442,41,Yes,27.95,Yes,Fiber Optic,23,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,113.2,4689.5,Yes
7156-MHUGY,Male,68,No,33528,13,Yes,26.11,Yes,Fiber Optic,4,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,90.5,1201.15,Yes
9606-PBKBQ,Male,69,No,63136,32,Yes,5.99,Yes,Fiber Optic,23,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85,2642.05,Yes
3536-IQCTX,Male,76,No,23984,32,Yes,49.6,Yes,Fiber Optic,10,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,85.3,2661.1,Yes
3132-TVFDZ,Male,70,No,21990,57,No,0,Yes,Cable,3,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,44.85,2572.95,Yes
8080-DDEMJ,Male,71,No,17015,1,Yes,15.28,Yes,Cable,14,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,45.1,45.1,Yes
6702-OHFWR,Male,75,No,68018,1,No,0,Yes,DSL,26,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,43.3,43.3,Yes
4510-PYUSH,Female,67,No,81986,38,Yes,26.1,Yes,DSL,27,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,57.15,2250.65,Yes
8840-DQLGN,Female,65,No,11517,35,Yes,15.98,Yes,Cable,22,Yes,Yes,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,100.5,3653.35,Yes
4193-ORFCL,Female,80,No,45358,1,Yes,15.24,Yes,DSL,14,No,No,No,No,Yes,Month-to-Month,No,Credit Card,45.1,45.1,Yes
7776-QWNFX,Male,71,No,75319,30,Yes,4.65,Yes,DSL,29,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,50.4,1527.5,Yes
6689-TCZHQ,Female,70,No,34716,5,Yes,12.27,Yes,Fiber Optic,20,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,78.95,378.4,Yes
9497-QCMMS,Male,73,No,51213,1,Yes,30.17,Yes,Fiber Optic,6,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,93.55,93.55,Yes
3424-NMNBO,Male,78,No,51213,58,Yes,49.38,Yes,Fiber Optic,19,Yes,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,108.85,6287.25,Yes
4514-GFCFI,Female,76,No,51213,16,Yes,17.51,Yes,Fiber Optic,7,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.75,1350.15,Yes
8000-REIQB,Female,73,No,51213,1,Yes,22.5,Yes,Fiber Optic,27,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,69.95,69.95,Yes
4795-KTRTH,Female,68,No,34902,5,Yes,47.28,Yes,Fiber Optic,11,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,81,371.65,Yes
9961-JBNMK,Male,79,No,964,21,Yes,42.27,Yes,Fiber Optic,7,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,96.8,2030.3,Yes
6179-GJPSO,Female,67,No,48690,43,Yes,31.83,Yes,Fiber Optic,10,Yes,Yes,No,Yes,Yes,Month-to-Month,Yes,Credit Card,108.15,4600.7,Yes
8290-YWKHZ,Female,69,No,42239,32,Yes,33.74,Yes,Fiber Optic,6,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,93.2,2931,Yes
8051-HJRLT,Female,72,No,4253,1,Yes,18.2,Yes,Fiber Optic,13,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.55,70.55,Yes
4021-RQSNY,Male,75,No,12743,29,Yes,25.78,Yes,Fiber Optic,28,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,98.5,3004.15,Yes
9061-TIHDA,Male,67,No,18311,13,Yes,31.7,Yes,Cable,6,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.25,1233.65,Yes
8699-ASUFO,Male,72,No,7344,7,Yes,8.92,Yes,Fiber Optic,17,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,74.4,527.9,Yes
4695-WJZUE,Female,68,No,17621,2,Yes,21.57,Yes,Fiber Optic,28,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,88.55,179.25,Yes
3988-RQIXO,Female,68,No,13422,1,Yes,43.61,Yes,Fiber Optic,2,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,91.3,91.3,Yes
5931-FLJJF,Male,75,No,8660,7,Yes,16.05,Yes,Fiber Optic,22,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,70.1,467.55,Yes
3207-OYBWH,Male,74,No,4242,57,Yes,49.91,Yes,Fiber Optic,21,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.25,5427.05,Yes
7216-EWTRS,Female,78,No,22133,1,Yes,17.35,Yes,Fiber Optic,23,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,100.8,100.8,Yes
2528-HFYZX,Male,66,No,37879,17,Yes,1.05,Yes,Fiber Optic,8,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.45,1233.4,Yes
4140-MUHUG,Female,73,No,6503,3,Yes,18.38,Yes,Fiber Optic,20,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,86.85,220.95,Yes
1587-FKLZB,Male,79,No,31727,66,Yes,28.86,Yes,Fiber Optic,25,No,No,Yes,No,Yes,Month-to-Month,Yes,Credit Card,99.5,6822.15,Yes
5440-FLBQG,Male,69,No,15757,69,Yes,48.88,Yes,Fiber Optic,4,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,108.4,7318.2,Yes
2774-LVQUS,Female,65,No,46171,15,Yes,44.13,Yes,Fiber Optic,3,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,83.05,1258.3,Yes
4612-THJBS,Female,68,No,5868,56,Yes,34.58,Yes,Fiber Optic,4,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,104.75,5510.65,Yes
4094-NSEDU,Female,79,No,46171,21,Yes,21.15,Yes,Fiber Optic,9,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.25,1973.75,Yes
1846-XWOQN,Female,80,No,1363,1,Yes,47.97,Yes,Fiber Optic,8,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.15,70.15,Yes
3757-NJYBX,Male,77,No,15405,32,Yes,7.92,Yes,Fiber Optic,3,No,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,106.35,3520.75,Yes
9898-KZQDZ,Female,65,No,504,40,Yes,49.5,Yes,Fiber Optic,20,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,94.55,3640.45,Yes
8263-JQAIK,Male,66,No,6787,2,No,0,Yes,DSL,6,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,24.45,47.5,Yes
2205-YMZZJ,Male,75,No,33856,7,Yes,39.51,Yes,Fiber Optic,13,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,84.8,546.95,Yes
1254-IZEYF,Female,74,No,5519,31,Yes,39.36,Yes,Fiber Optic,4,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,99.95,3186.65,Yes
9221-OTIVJ,Female,80,No,506,14,Yes,29.96,Yes,Fiber Optic,7,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,104.85,1531.4,Yes
5908-QMGOE,Male,74,No,5635,15,Yes,23.53,Yes,Fiber Optic,9,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,74.2,1133.9,Yes
0397-GZBBC,Male,70,No,343,59,Yes,10.78,Yes,Fiber Optic,15,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,93.85,5574.75,Yes
